Date,USGG2YR Index,USGG10YR Index,USGG30YR Index,VIX Index,MOVE Index,AAIIBULL Index,AAIIBEAR Index,SPX Index,SPX Index,.TED G Index,.BAA10YB Index,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPL,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,SRVPRD,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,ISRATIO,M1SL,M2SL,M2REAL,AMBSL,BUSLOANS,REALLN,WPSFD49207,WPSFD49502,WPSID61,WPSID62,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,ism_man_empl,ism_man_neworders,ism_man_pmi,ism_man_prices
11/1/2018,2.8445,3.1303,3.376,19.34,58.5415,37.93,34.48,45.61,44.67,26.6836,145.9661,16369.6,13590.5,118.866,1497100,104.461,103.695,104.05,106.182,121.6,102.86,114.882,107.788,103.739,104.902,112.635,108.168,110.53,76.1705,156795,156562,3.7,21.7,2126,1813,2092,839,1253,149893,20869,703.8,7312,12807,8016,129024,6026.3,15910.7,8622,22378,41.1,4.5,41.9,1256,124,156,687,289,1.35,3716.3,14317.6,5661.9,3492.82,2276.93,4397.94,204.5,216.8,202.9,192.9,15630.8,310355,730539,3443.52,57.7,61.8,58.8,60.7
1/1/2019,2.4878,2.6842,3.0145,25.42,66.5828,31.55,50.3,41.71,40.89,45.2702,191.5791,16369.6,13590.5,118.866,1497100,109.445,104.513,103.405,105.552,119.252,102.08,102.218,114.933,108.036,104.597,105.229,104.871,114.628,75.797,163229,156694,4,20.5,2325,2013,2153,902,1252,150574,21046,712.3,7464,12822,8059,129528,5904.4,15835.7,8631,22506,41.7,4.5,42,1230,124,156,687,289,1.35,3737.2,14467.2,5725.7,3342.85,2342.56,4425.67,202.6,213.4,198.3,194.4,15780.4,310355,730539,3548.35,55.5,58.2,56.6,49.6
2/1/2019,2.5019,2.6842,3.0253,16.14,48.7887,31.76,31.76,63.93,54.5,34.6637,162.5793,16369.6,13590.5,118.866,1497100,109.445,104.513,103.405,105.552,118.772,102.08,102.218,114.933,108.036,104.597,105.229,104.871,114.628,75.797,163229,156694,4,20.5,2325,2013,2214,902,1252,150574,21046,708.3,7464,12822,8059,129528,5904.4,15835.7,8631,22483,41.7,4.4,42,1162,124,156,663,289,1.35,3737.2,14467.2,5725.7,3342.85,2345.37,4425.67,203.1,214.1,199,185.4,15780.4,310355,730539,3548.35,52.3,55.5,54.2,49.4
3/1/2019,2.5526,2.7531,3.1226,13.57,47.9044,41.63,20,69.35,59.73,16.8921,155.6899,16369.6,13590.5,118.866,1497100,109.445,104.513,103.405,105.552,120.1304,102.08,102.218,114.933,108.036,104.597,105.229,104.871,114.628,75.797,163229,156694,4,20.5,2325,2013,2256,902,1252,150574,21046,709.9,7464,12822,8059,129528,5904.4,15835.7,8631,22519,41.7,4.3,42,1139,124,156,604,289,1.35,3737.2,14467.2,5725.7,3342.85,2347.23,4425.67,205.9,218.8,200.5,189.7,15780.4,310355,730539,3548.35,57.5,57.4,55.3,54.3
4/1/2019,2.3326,2.5009,2.8901,13.4,52.6899,33.2,27.2,65.61,60.78,21.7352,152.9091,16369.6,13590.5,118.866,1497100,109.445,104.513,103.405,105.552,120.1304,102.08,102.218,114.933,108.036,104.597,105.229,104.871,114.628,75.797,163229,156694,4,20.5,2325,2013,2084,902,1252,150574,21046,708,7464,12822,8059,129528,5904.4,15835.7,8631,22547,41.7,4.3,42,1139,124,156,604,289,1.35,3737.2,14467.2,5725.7,3342.85,2347.23,4425.67,206.7,219.2,200.3,194.8,15780.4,310355,730539,3548.35,52.4,51.7,52.8,50
10/1/2018,2.8189,3.0836,3.2343,12,44.2847,36.22,31.1,62.53,60.85,20.4454,127.6388,16342.5,13559.8,118.424,1497100,109.065,104.795,104.05,106.595,121.435,102.844,102.916,113.748,107.907,104.049,105.378,108.235,110.53,76.1705,162637,156562,3.7,22.5,2057,1821,2229,856,1373,149750,20859,708.6,7318,12785,8005,128891,6017.2,15896.4,8609,22397,41.3,4.5,42.1,1228,87,210,596,335,1.35,3738.4,14271.5,5644.8,3560.51,2236.67,4398.31,206.2,219.3,204.3,203.6,15603.2,308813,730996,3416.8,56.5,58,57.5,71.6
8/1/2018,2.6776,3.0064,3.1321,13.15,48.3833,31.52,26.9,56.6,56.31,33.0651,130.3604,16299,13534.8,117.686,1499390,108.232,104.108,103.253,106.126,121.619,102.216,101.293,112.738,106.971,103.586,104.608,108.508,109.257,75.7972,161776,155542,3.9,22.6,2208,1720,2255,923,1332,149279,20722,697.3,7259,12717,7950,128557,6007.1,15913.5,8588,22340,41.6,4.6,42.2,1282,99,191,674,318,1.34,3702.8,14217,5645.1,3603.62,2217.37,4362.44,204.9,217.6,202.6,193.3,15582.8,306414,730080,3424.48,58.5,65.1,60.8,72.1
6/1/2018,2.4716,2.9022,3.0506,13.46,56.9385,35.02,26.35,56.92,53.74,41.3231,134.7817,16246.7,13500.6,117.075,1488050,107.714,103.984,102.995,106.141,120.221,102.577,99.8425,111.74,106.221,101.975,103.885,111.545,109.171,75.4568,162140,155576,4,21.2,2227,1882,2314,836,1478,148912,20672,688.6,7222,12713,7950,128240,5960.8,15931.5,8576,22341,41.5,4.5,42,1173,96,156,601,320,1.33,3658,14112.3,5625.6,3676.75,2209.53,4346.71,204.4,217.4,202.7,199.8,15522,302536,727080,3412.11,56,63.5,60,76.8
5/1/2018,2.5042,2.9644,3.1287,15.49,51.7834,36.91,25.55,47.99,48.22,52.2875,128.5634,14817.7,12256.9,123.19,1486910,107.301,103.561,102.296,105.609,117.41,102.602,98.6481,111.341,105.832,102.024,103.528,109.808,107.837,75.2882,161539,155474,3.8,21.3,2034,1945,2166,977,1189,148662,20616,684.8,7210,12673,7917,128046,5954.8,15970.3,8559,22326,41.7,4.6,42.2,1350,102,266,653,329,1.34,3652,14024.7,5597.9,3695.4,2165.21,4331.81,204.3,217.5,201.2,201.8,15427.9,303422,728728,3375.62,56.3,63.7,58.7,79.5
3/1/2018,2.2117,2.8078,3.0834,22.47,63.6636,41.63,20,43.55,47.73,41.3717,114.218,14774.1,12221.2,122.819,1290760,107.166,103.974,102.937,106.361,122.046,102.4,99.9333,110.537,106.669,101.96,104.188,109.771,107.295,75.942,161763,155178,4.1,24.1,2287,2009,2202,880,1322,148230,20504,671.9,7150,12632,7888,127726,5967.3,15915.9,8546,22326,41.5,4.6,42.2,1319,132,180,621,386,1.34,3664.3,13918.1,5579.2,3833.19,2138.46,4326.88,202.5,215.2,197.3,195,15342.4,301511,726412,3392.27,57.3,61.9,59.3,78.1
