Name,USGG2YR Index,USGG10YR Index,USGG30YR Index,VIX Index,MOVE Index,AAIIBULL Index,AAIIBEAR Index,SPX Index,SPX Index,.TED G Index,.BAA10YB Index,EOM
9/2/1998,4.929,5.068,5.333,36.76,105.16,23,45,30.84,38.46,70.375,170.2,TRUE
10/1/1998,4.15,4.298,4.882,43.48,141.17,32,33,38.35,42.46,107.65,197.2,TRUE
11/2/1998,4.277,4.764,5.244,27.26,125.43,43,21,69.22,58.36,86.531,194.6,TRUE
12/1/1998,4.439,4.649,5.036,24.97,88.99,48,17,65.44,61.63,79.072,192.1,TRUE
1/1/1999,4.554,4.654,5.095,24.42,121.13,41,22,65.52,62.59,60.363,194.6,TRUE
2/1/1999,4.645,4.753,5.183,27.67,86.88,47,20,60.75,60.39,44.538,171.7,TRUE
3/1/1999,5.196,5.39,5.67,28.37,105.94,37,24,48,52.1,33.75,157,TRUE
4/1/1999,5.004,5.279,5.671,22.06,86.65,40,25,53.96,55.09,58.9,156.1,TRUE
5/3/1999,5.058,5.359,5.655,24.15,85.69,41,27,58.22,57.71,41.275,151.1,TRUE
6/1/1999,5.523,5.758,5.924,26.62,114.05,38,20,42.28,47.74,41.075,146.2,TRUE
7/1/1999,5.578,5.84,6.011,19.69,103.94,35,27,65.73,58.44,64.95,156,TRUE
8/2/1999,5.647,5.916,6.121,25.59,106.19,42,20,37.92,46.82,57.775,167.4,TRUE
9/1/1999,5.723,5.976,6.078,22.93,108.26,35,25,47.54,48.86,58.75,181.4,TRUE
10/1/1999,5.696,5.974,6.134,24.93,107.58,35,23,39.3,43.53,122.6,175.6,TRUE
11/1/1999,5.82,6.048,6.179,22.09,94.25,38,24,61.44,54.95,104.225,174.2,TRUE
12/1/1999,6.039,6.2,6.294,22.23,86.93,55,17,56.02,56.11,85.225,170,TRUE
1/3/2000,6.384,6.592,6.622,24.21,102.95,60,15,62.64,60.25,59.025,149.8,TRUE
2/1/2000,6.574,6.619,6.423,23.45,104.72,53.7,20.37,47.25,50,38.325,160.1,TRUE
3/1/2000,6.504,6.386,6.158,21.64,104.14,41.38,31.03,47.92,47.83,34,178.4,TRUE
4/3/2000,6.419,5.965,5.812,24.03,102.95,38.89,50,62.34,58.49,44.1,230.5,TRUE
5/1/2000,6.719,6.278,5.988,25.88,103.12,61.29,14.52,52.5,52.37,66.35,233.2,TRUE
6/1/2000,6.587,6.191,5.943,22.36,101.26,41.67,37.5,54.98,51.79,116.775,257.9,TRUE
7/3/2000,6.294,5.989,5.867,19.83,99.87,26.67,40,54.6,52.61,87.5,241.1,TRUE
8/1/2000,6.237,5.984,5.727,20.55,87.33,42.86,20,42.76,47.62,48.4,233.6,TRUE
9/1/2000,6.078,5.679,5.661,17.53,77.86,55.88,17.65,63.18,57.07,41.15,249.1,TRUE
10/2/2000,5.97,5.823,5.923,21.23,83.08,53.33,6.67,39.81,44.76,59.538,234.7,TRUE
11/1/2000,5.872,5.742,5.78,24.28,77.96,64.1,17.95,54.27,49.32,39.175,270.8,TRUE
12/1/2000,5.604,5.503,5.635,27.48,87.69,60.42,16.67,36.16,40.08,46.925,284.7,TRUE
1/1/2001,5.104,5.114,5.458,26.85,104.91,40,32,46.59,45.32,51.475,293.6,TRUE
2/1/2001,4.555,5.086,5.46,21.66,104.67,50,19.23,59.5,52.71,36.6,249.4,TRUE
3/1/2001,4.406,4.874,5.293,28.08,110.14,45.95,33.78,32.09,39.25,24.075,259.6,TRUE
4/2/2001,4.213,4.977,5.488,31.21,111.37,37.25,27.45,39.38,39.21,58.5,239.3,TRUE
5/1/2001,4.227,5.292,5.742,24.2,105.05,46.55,31.03,63.27,54.31,44.4,218.8,TRUE
6/1/2001,4.213,5.364,5.705,21.59,96.78,49.35,28.57,50.37,51.5,28.65,203.6,TRUE
7/2/2001,4.168,5.322,5.687,18.76,95.43,30.38,32.91,49.9,49.24,18.4,205.8,TRUE
8/1/2001,3.813,5.071,5.526,20.56,92.26,29.52,38.1,52.06,49.03,14.325,189.9,TRUE
9/3/2001,3.629,4.826,5.369,24.92,94.28,31.43,22.86,34.45,39.76,9.863,206.4,TRUE
10/1/2001,2.803,4.54,5.373,32.32,118.62,51.11,22.22,39.82,37.95,24,252,TRUE
11/1/2001,2.487,4.24,4.803,32.31,116.71,35,33.33,51.48,47.35,14.6,249,TRUE
12/3/2001,2.776,4.687,5.243,25.77,122.86,69.33,20,52.37,51.9,22.05,232.3,TRUE
1/1/2002,3.05,5.032,5.472,23.8,137.36,57.69,26.92,53.39,53.06,15.525,213.8,TRUE
2/1/2002,3.069,4.985,5.393,21.12,115.05,45.45,22.73,45.28,47.86,16.4,223.5,TRUE
3/1/2002,3.184,4.981,5.504,19.96,108.13,44.44,20.37,57.33,52.15,12.425,215.9,TRUE
4/1/2002,3.711,5.426,5.829,18.73,119.7,51.16,23.26,51.86,52.07,25.3,216.4,TRUE
5/1/2002,3.1875,5.0579,5.5638,20.06,101.09,36.67,23.33,40.18,43.61,15.8268,266.2069,TRUE
6/3/2002,3.1274,4.9972,5.5966,23.37,103.94,28.26,40.22,35.87,40.94,16.5611,217.2798,TRUE
7/1/2002,2.8263,4.7802,5.4767,27.11,109.54,30.97,46.02,32.26,36.61,16.0024,257.9762,TRUE
8/1/2002,2.1213,4.3893,5.285,36.95,132.7,34.21,31.58,44,40.63,14.2877,324.074,TRUE
9/2/2002,2.1411,4.1332,4.928,32.64,137.63,50,29.03,48.76,46.85,14.4414,299.6763,TRUE
10/1/2002,1.7789,3.7152,4.7457,34.12,144.58,24.51,47.06,44.55,43.79,18.4102,317.4808,TRUE
11/1/2002,1.7636,4.0045,5.0408,29.3,135.24,51.47,27.94,58.11,52.28,24.4694,302.5524,TRUE
12/2/2002,2.0724,4.2287,5.0444,27.46,127.52,51.06,31.91,59.61,55.06,20.2335,235.1303,TRUE
1/1/2003,1.582,3.8175,4.7792,28.62,123.89,40,32,42.52,47.23,18.7785,222.2454,TRUE
2/3/2003,1.7213,3.9916,4.8382,31.02,109.12,25.53,47.87,41.16,44.9,18.0816,200.8392,TRUE
3/3/2003,1.5,3.6728,4.6692,30.43,101.76,26.02,47.15,44.41,44.6,15.9371,197.7246,TRUE
4/1/2003,1.4734,3.8095,4.825,28.36,109.66,39.42,32.69,51.7,50,16.9274,179.0489,TRUE
5/1/2003,1.4654,3.8397,4.775,21.59,89.67,48.57,25.71,62.11,57.23,21.2229,142.0291,TRUE
6/2/2003,1.3058,3.4085,4.4213,20.85,101.65,62.86,14.29,68.22,61.93,16.1784,133.1525,TRUE
7/1/2003,1.3001,3.5471,4.586,19.46,100.56,71.43,8.57,53.41,57.03,23.3741,124.2872,TRUE
8/1/2003,1.773,4.3834,5.314,20.75,157.22,51.54,16.15,46.2,51.82,21.4044,115.6625,TRUE
9/1/2003,1.9598,4.4577,5.2217,18.63,126.55,56.7,22.68,61.26,57.08,16.911,106.2334,TRUE
10/1/2003,1.4416,3.9318,4.8902,21.07,118.24,57.28,22.33,52.7,53.74,21.2462,96.8191,TRUE
11/3/2003,1.8742,4.3403,5.1607,16.55,118.76,57.81,18.75,63.74,59.43,24.2818,80.9738,TRUE
12/1/2003,2.092,4.3846,5.151,16.77,113.14,60.38,20.75,63.69,59.14,27.1369,73.5411,TRUE
1/1/2004,1.8186,4.2455,5.0726,18.31,117.91,62.41,13.48,74.41,65.59,23.4886,66.4475,TRUE
2/2/2004,1.8028,4.1455,4.9833,17.11,116.21,56.88,15,57.17,60.47,21.3029,68.4531,TRUE
3/1/2004,1.649,3.973,4.8384,14.44,90.14,41.58,30.53,61.1,60.63,17.2395,71.701,TRUE
4/1/2004,1.6199,3.8786,4.8009,16.65,112.4,55.17,22.41,54.78,52.83,18.2724,78.1434,TRUE
