"","1","2","3","4","5","6","7","8"
"FI_treas_short","1","1","1","1","1","1","1","1"
"FI_treas_long","1","1","1","1","1","1","2","2"
"FI_deved_intl","1","1","1","1","4","5","6","7"
"FI_IG_short","1","1","2","2","2","2","3","3"
"FI_IG_long","1","1","2","2","2","3","4","4"
"FI_IG_mid","1","1","2","2","2","3","4","5"
"FI_HY","1","2","3","3","3","4","5","6"
"FI_deving_intl","1","2","3","4","5","6","7","8"
"Variance% of PC1","56.2%","84.6%","84.6%","96.2%","96.5%","97.2%","97.2%","100%"
"Retained Correlation","49%","60%","66%","66%","66%","72%","85%","100%"
