"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"33823","USGOVTMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.0273879812918271","0.00237000296711711","-20.7803470785093","2.40381762724216e-10","-0.275992040128417","-0.681188473657146","0.00147291809463309","8.80011189364925e-09","0.458882350697776","0.442967125718299",NA,"318.711947935753","325.457433661901","8.54904813607504e-10","70","No gap","1.04941902816489","0.770863431737682","0.629214721655989","0.370785278344011","0.509950042164959","0.94860660059778","0.865659203293492","0.814857436569902","0.456574886300305","0.01","0.01","0.1","","","","2.27032984399274","","","","","","","","",""
"34127","USGOVTMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-605.917996139898","0.00241091797504752","-20.7638838145963","2.45614022699297e-10","-0.275436447101363","-0.680648800976322","0.0022273225575672","4.85721623796932e-08","0.458631118415172","0.442708504250913",NA,"318.744440275558","325.489926001706","8.68503935436138e-10","70","No gap","1.04872832091256","0.76470084701547","0.589511178076745","0.410488821923255","0.510033566174514","0.947777330642322","0.873542487229747","0.81904579497339","0.455844241874968","0.01","0.01","0.1","","","","2.26936505862645","","","","","","","","",""
"43589","DTCTHFNMMoMPercentChangeL1","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-31.4129966125732","0.017398641370884","-19.6356370917846","1.69928558348089e-09","-0.225208826677652","-0.643664401239535","6.1544413012792e-19","1.05155244782764e-08","0.429391125087788","0.412608511119781",NA,"322.426656887609","329.172142613757","5.19409337762511e-09","70","No gap","1.01277346115098","0.776281264584782","0.558560936258219","0.441439063741781","0.409479789304441","0.840407798570163","0.833448035443131","0.888161685491637","0.254638438008753","0.0257301015033166","0.01","0.1","","","","3.0741234556458","","","","","","","","",""
"43461","DTCTHFNMMoMDifferenceL1","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-3.49158428889133e-05","0.0177847745652357","-19.6543521516911","1.68391787050023e-09","-0.224532108803368","-0.644277888735387","2.04849127167697e-19","1.98987546963478e-08","0.429065763629056","0.412273580206381",NA,"322.466559546567","329.212045272715","5.29574351038065e-09","70","No gap","1.01348766130072","0.783183088519469","0.55561558350974","0.44438441649026","0.403185222730143","0.851285052337245","0.840508679077863","0.890640467830108","0.25738145863576","0.0262424887804712","0.01","0.1","","","","3.07646642020993","","","","","","","","",""
"8041","IPFINALMoMPercentChangeL1","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-76.2338645685851","0.0234908038852635","-18.1020177755961","1.77991002837154e-08","-0.214130491210618","-0.593391718246382","0.0535315134119068","5.45080896719008e-07","0.424945957139801","0.40803260293803",NA,"322.969859103539","329.715344829687","6.76230060836502e-09","70","No gap","1.0135947905787","0.48183914765364","0.702984860068311","0.297015139931689","0.31486843653502","0.686452978617828","0.658690899326086","0.807428519258129","0.34099357351979","0.0475794445229927","0.01","0.1","","","","2.47428427868156","","","","","","","","",""
"7493","IPFINALMoMDifferenceL1","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.742511342320163","0.024717926410237","-18.0966336874251","1.83458790687153e-08","-0.212553578410988","-0.593215225582937","0.047821690585371","7.45903208552521e-08","0.424193295905726","0.407257804608836",NA,"323.061418910468","329.806904636616","7.06982039577753e-09","70","No gap","1.0140201989471","0.489317472384286","0.700153258144815","0.299846741855185","0.321819650603539","0.668921039735748","0.671651444047928","0.813506108443709","0.324617140233646","0.0470398026356333","0.01","0.1","","","","2.47176351556073","","","","","","","","",""
"16761","IPB51222SMoMDifferenceL1","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.115552304187012","0.0333906988500319","-19.2984796392136","3.16520830290138e-09","-0.202081828092091","-0.632612238846325","0.0613110443622449","9.80864998952489e-07","0.419758833251892","0.40269291658283",NA,"323.598444955979","330.343930682127","9.17677922540605e-09","70","No gap","1.00503055308317","0.825789058096839","0.565534814890316","0.434465185109684","0.649208454874593","0.437782676261321","0.984499163085245","0.986054069901971","0.196672073286761","0.0271022881344093","0.01","0.1","","","","2.66586468629046","","","","","","","","",""
"38915","ISRATIOMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-89.1784112625465","0.0334920808726904","-17.3794530171091","9.49773335664469e-08","-0.206341351119621","-0.569705743075102","0.0346091974553932","1.37793857531617e-07","0.419714246551822","0.402647018509229",NA,"323.603823666204","330.349309392352","9.20078502275601e-09","70","No gap","1.05840388805466","0.533830674433419","0.69383576621182","0.30616423378818","0.4162877029213","0.835862493394303","0.588516701966136","0.933587819482237","0.279536270858636","0.0254508567322834","0.01","0.1","","","","2.29617536127531","","","","","","","","",""
"17241","IPB51222SMoMPercentChangeL1","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-11.6958639312881","0.033905027111819","-19.2652885168196","3.30696769648379e-09","-0.201312197136387","-0.631524219964007","0.0576615957750597","1.26598441066055e-06","0.41953404784654","0.402461519842027",NA,"323.625557701847","330.371043427995","9.29842791652646e-09","70","No gap","1.00431726834407","0.818208886910356","0.569458122369555","0.430541877630445","0.629136332204842","0.471965129652551","0.981212701941691","0.984494318701935","0.217341533574791","0.0262599869080137","0.01","0.1","","","","2.65599724434517","","","","","","","","",""
"38683","ISRATIOMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-64.8815729413099","0.0372764714534492","-17.4229692882311","9.12104146659018e-08","-0.202256448758928","-0.571132224653722","0.0375277220739734","1.50942591896885e-07","0.418141550728418","0.401028066926313",NA,"323.793281694879","330.538767421028","1.00876437203468e-08","70","No gap","1.05726862336724","0.538094743482529","0.690891388398526","0.309108611601474","0.408227884986558","0.840642923415771","0.582623231553303","0.9299149210165","0.268390166695012","0.0250167661287451","0.01","0.1","","","","2.30216951954221","","","","","","","","",""
