"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"16522","IPB51222SMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL1",NA,"0",NA,"0.421673048452116","0.00023393598998385","-18.4944295503654","0.00198171333005844","0.414030142512631","-0.341785694107664","0.0107780076191107","0.0184117458860071","0.252161357787888","0.230166103605179",NA,"422.280788548176","429.026274274324","5.12234322045391e-05","70","No gap","1.01280662499588","0.109912093100007","0.958569129850719","0.0414308701492808","0.0063141241259614","0.000152608715134084","0.00265032102337135","1.54202737402409e-05","7.37422492751008e-05","0.103162176926208","0.01","0.1","","","","3.7596100949867","","","","","","","","",""
"16439","IPB51222SMoMDifferenceL0","WPSID61MoMDifferenceL0",NA,"0",NA,"0.384019358207559","0.000690804788523433","1.31023280260526","0.00220610680751274","0.377058932720334","0.337474502310197","0.0196403600110248","0.00592582151166816","0.249978557081572","0.227919102878088",NA,"422.484807814223","429.230293540371","5.65594422130555e-05","70","No gap","1.00002194617951","0.0507724967908933","0.976785634111166","0.0232143658888336","0.00214153291979523","4.67247694061952e-05","0.0023304818288175","0.000248984123859097","0.000326268651876442","0.197521389057147","0.01","0.1","","","","4.1586512409684","","","","","","","","",""
"16293","IPB51222SMoMDifferenceL0","CLF16OVMoMPercentChangeL0",NA,"0",NA,"0.348680447158524","0.00202180773721702","-263.027852411615","0.00232837174259139","0.342360546300851","-0.335788877405948","0.050789663253317","3.55477123975194e-08","0.248879782051058","0.226788010934913",NA,"422.58728217474","429.332767900889","5.94458265996689e-05","70","No gap","1.00973134804399","0.906593449623438","0.529278823380108","0.470721176619892","0.0216056364631154","0.000714424837277394","5.07352868086706e-05","0","0.665911727526638","0.286704220859219","0.01","0.1","","","","3.14817063219613","","","","","","","","",""
"16291","IPB51222SMoMDifferenceL0","CLF16OVMoMDifferenceL0",NA,"0",NA,"0.348923130572674","0.0020074215550729","-0.00165150939606854","0.00233290100590143","0.342598831030962","-0.335814564631451","0.055607080339664","8.1713504623932e-09","0.248840181071545","0.226747245220708",NA,"422.590972656539","429.336458382688","5.95524799773539e-05","70","No gap","1.00959525328189","0.908053079835029","0.530196553869365","0.469803446130635","0.0216005115130692","0.000741288626307379","5.13582623977303e-05","0","0.68504864435137","0.287533351000868","0.01","0.1","","","","3.19632101546374","","","","","","","","",""
"4737","INDPROMoMDifferenceL0","IPB51222SMoMDifferenceL0",NA,"0",NA,"-1.6129003292112","0.00235627300611389","0.40659434075249","0.00036477366239614","-0.333363786201234","0.39922473932004","5.59641840867508e-06","0.0236514282228518","0.24863703035226","0.226538119480268",NA,"422.609901554716","429.355387280864","6.01025323636595e-05","70","No gap","1.00501413774361","0.506547240629808","0.318139816370442","0.681860183629558","0.0168776594004882","0.0054285240946866","0.000305629983535011","7.105427357601e-15","0.580063373816831","0.35913575111169","0.01","0.1","","","","2.50698480739186","","","","","","","","",""
"5305","INDPROMoMPercentChangeL0","IPB51222SMoMDifferenceL0",NA,"0",NA,"-170.109017515262","0.00240185740287722","0.40695803913239","0.000362297896471543","-0.332472657712357","0.399581845596133","8.43299438125947e-06","0.0234938051557931","0.24824647056294","0.22613607263832",NA,"422.646278223969","429.391763950117","6.11739010060175e-05","70","No gap","1.0051844336883","0.500940982738161","0.314960907690985","0.685039092309015","0.0168025257823117","0.00554097796648589","0.000316200695909287","8.99280649946377e-15","0.580369282300965","0.360346513102737","0.01","0.1","","","","2.51869108386387","","","","","","","","",""
"16441","IPB51222SMoMDifferenceL0","WPSID61MoMPercentChangeL0",NA,"0",NA,"0.384363222935256","0.000695176125785778","251.585317004149","0.00245382939569277","0.377396564833024","0.334183742138292","0.02012206174493","0.00632031561928174","0.247810015941443","0.225686781116191",NA,"422.686907175905","429.432392902053","6.23931009010592e-05","70","No gap","1.00003296407597","0.0562619978003118","0.974280596417858","0.0257194035821423","0.00224071367234973","4.61184152775791e-05","0.0021833289923183","0.000196034395143596","0.000326796832224926","0.202009376783555","0.01","0.1","","","","4.10696118803321","","","","","","","","",""
"16417","IPB51222SMoMDifferenceL0","M2REALMoMPercentChangeL0",NA,"0",NA,"0.419032103584411","0.000264673595903092","-370.444714482787","0.00261537312351599","0.411437065283821","-0.2469963688813","0.0146032177633827","0.00921837619624969","0.246509463951541","0.224347977597175",NA,"422.807834106577","429.553319832725","6.61675819614294e-05","70","No gap","1.0117237602968","0.328935599535182","0.853736035121916","0.146263964878084","0.00451086603154627","0.000125483900762973","0.00755408100695538","9.62021369311783e-05","0.000235883407736682","0.309494320669854","0.01","0.1","","","","3.20127222748896","","","","","","","","",""
"16415","IPB51222SMoMDifferenceL0","M2REALMoMDifferenceL0",NA,"0",NA,"0.419443149050534","0.000265250119914175","-0.0721940446726315","0.00280347022067428","0.411840660470999","-0.245468085715537","0.0149597570728833","0.00884849575694896","0.245091627097076","0.222888439658755",NA,"422.939428751008","429.684914477156","7.05349296576951e-05","70","No gap","1.01214759032207","0.351699571915273","0.843562421877419","0.156437578122581","0.00507565853454698","0.000227652338050933","0.00618460675964531","5.09601102131052e-05","0.000217542165445795","0.307972559647575","0.01","0.1","","","","3.19278342955149","","","","","","","","",""
"16919","IPB51222SMoMPercentChangeL0","WPSID61MoMDifferenceL0",NA,"0",NA,"38.166155857779","0.000917988709826318","1.31862056825536","0.0021554763849006","0.368684650826868","0.339634925276736","0.0190068386588404","0.00668713343096309","0.244092925372937","0.221860364354494",NA,"423.031973649178","429.777459375326","7.37778405057732e-05","70","No gap","1.00011320591436","0.0551732090837235","0.974651297755344","0.0253487022446564","0.00227038479933188","4.83072691393383e-05","0.00246116009999681","0.000215035058730995","0.000209412822961762","0.196955980763619","0.01","0.1","","","","4.17540009243527","","","","","","","","",""
"16773","IPB51222SMoMPercentChangeL0","CLF16OVMoMPercentChangeL0",NA,"0",NA,"34.568961676046","0.0026062424923639","-265.365960298651","0.00219854108541857","0.333935794122758","-0.338773772790385","0.047353934310208","1.18799024435622e-08","0.243686745253686","0.221442237761148",NA,"423.06957744074","429.815063166889","7.51377519185858e-05","70","No gap","1.00845800071111","0.863751597362523","0.508123178279054","0.491876821720946","0.0275648238539242","0.00107999462718108","4.10764169268526e-05","0","0.631178407060815","0.281189593422676","0.01","0.1","","","","2.96767621233962","","","","","","","","",""
"16771","IPB51222SMoMPercentChangeL0","CLF16OVMoMDifferenceL0",NA,"0",NA,"34.5923885714913","0.00258933806595399","-0.00166610794531281","0.00220426507167645","0.334162097678175","-0.338783003969662","0.0536111961429006","2.78040019081128e-09","0.243633349684238","0.221387271733774",NA,"423.074519252753","429.820004978901","7.53183223433096e-05","70","No gap","1.0083394645352","0.864989011018178","0.508946835417997","0.491053164582003","0.0275660044905012","0.00112042363368484","4.14983795498463e-05","0","0.65056721875025","0.282034253273721","0.01","0.1","","","","3.01344007627435","","","","","","","","",""
"16897","IPB51222SMoMPercentChangeL0","M2REALMoMPercentChangeL0",NA,"0",NA,"42.2657270065845","0.000304353289228724","-378.726621634455","0.0022097328011961","0.408286463573466","-0.25251838313579","0.0130757891450328","0.00944868780942958","0.243582472241999","0.221334897896176",NA,"423.079227685072","429.82471341122","7.54907689080042e-05","70","No gap","1.0163014267656","0.331477348512797","0.852474386867426","0.147525613132574","0.00533319285788071","0.000167580964971657","0.00741041091374056","9.88369726427907e-05","0.000119260526979443","0.305190569542437","0.01","0.1","","","","3.16466296848287","","","","","","","","",""
"4739","INDPROMoMDifferenceL0","IPB51222SMoMPercentChangeL0",NA,"0",NA,"-1.62971475983464","0.00222217355298981","40.6278213545355","0.000467371197670333","-0.336839092240875","0.392464312774122","4.54113611401322e-06","0.0104406047197916","0.243467172082382","0.221216206555394",NA,"423.089896919735","429.835382645883","7.58829925603388e-05","70","No gap","1.00655584084051","0.457471951690967","0.291165748925673","0.708834251074327","0.0235262977662648","0.00768856612102902","0.000242678454638031","6.66133814775094e-16","0.500171144126561","0.353403184685913","0.01","0.1","","","","2.44940830681957","","","","","","","","",""
