"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"44489","ism_man_pricesMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"0.0992716342396068","0.00599389928080396","-8.07463371494149","5.25458039761305e-06","0.28359245781644","-0.493687520410669","0.0351199896364992","0.000231349389611443","0.370321775145594","0.351801827355758",NA,"243.639130291978","250.384616018127","1.47922743165552e-07","70","No gap","1.04440648931728","0.148491143077685","0.0622831100208665","0.937716889979133","0.0496534858086443","0.300830529522045","0.396922036061726","0.552925918925948","0.0233087463251356","0.0412738765444354","0.01","0.0679123628114508","","Fail","","0.991077018395971","","","","","","","","",""
"42229","WPSID61MoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"0.319465201874485","0.00843399764204621","-8.12879702206106","4.97665754868546e-06","0.272242434204587","-0.49699909462358","0.0379439042824798","0.000122788013327186","0.364576220368027","0.345887285672969",NA,"244.274955068489","251.020440794637","2.01445587766358e-07","70","No gap","1.04281353990095","0.265977169531703","0.131557869182106","0.868442130817894","0.00540989650163501","0.0655224472483797","0.0190297442067371","0.0366876377421204","0.267287001212072","0.01","0.01","0.1","","","","0.91542536762323","","","","","","","","",""
"3251","DPCERA3M086SBEAMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-61.0180526872357","0.00941466694831936","-9.38875495597102","1.7424478898142e-07","-0.25942329104765","-0.57403361162746","0.00177331651637107","9.62461853531449e-05","0.362724038263908","0.343980627624612",NA,"244.478699651137","251.224185377285","2.22400756366703e-07","70","No gap","1.00698141775276","0.0291976448251745","0.00165513498279085","0.998344865017209","0.113016079022703","0.593738161533891","0.0901620105133557","0.0924614048032183","0.404014378373551","0.0276438178627401","0.01","0.1","","","","1.01267871748453","","","","","","","","",""
"44577","ism_man_pricesMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"4.80427363982619","0.0100533404805474","-8.03650730683702","7.10303735693558e-06","0.267625008529435","-0.491356450972259","0.0763923902563647","0.000244644463451443","0.361618610759362","0.342842687546402",NA,"244.600017408806","251.345503134954","2.35899703882048e-07","70","No gap","1.05437080651741","0.142301076437028","0.0600600101686665","0.939939989831334","0.0948105670852572","0.0887118562636049","0.276321940983397","0.586329331080329","0.0059277261766766","0.049358761353835","0.01","0.0730931431311888","","Fail","","0.911339998738264","","","","","","","","",""
"42389","WPSID61MoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"60.2584873227346","0.0105285493463126","-8.14743302448007","5.06413506684054e-06","0.264824410814183","-0.498138510001343","0.0506265703029085","0.000190229486664656","0.36084069993874","0.342041896995762",NA,"244.685265205028","251.430750931176","2.45872424975424e-07","70","No gap","1.04341862633635","0.241230210748386","0.120061922692191","0.879938077307808","0.00547128212024565","0.0669294794887497","0.0170555242551428","0.0365118396546129","0.268209626858649","0.01","0.01","0.1","","","","0.90725490393087","","","","","","","","",""
"2667","DPCERA3M086SBEAMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.496570374847012","0.010866372214119","-9.40195203024477","1.77865305698146e-07","-0.255451901798804","-0.574840487964504","0.000799502443121276","3.25796668636981e-05","0.360308733835914","0.341494284831088",NA,"244.743501296607","251.488987022755","2.52926493082839e-07","70","No gap","1.00778516546182","0.0259141714114527","0.00605779836753297","0.993942201632467","0.112263639569824","0.577807847230427","0.0759193235490001","0.0862683910526452","0.390153365317495","0.02676415684223","0.01","0.1","","","","1.07361540098354","","","","","","","","",""
"32887","USTRADEMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-166.818986908081","0.0132106066433439","-9.1225059622304","3.45189252631311e-07","-0.242757739241864","-0.557755002569513","0.0255866215334885","5.61631688051625e-05","0.357018396514491","0.338107172882564",NA,"245.10263279951","251.848118525658","3.01127633606235e-07","70","No gap","1.00050877654392","0.058457286432575","0.0206330859272368","0.979366914072763","0.0962827124762435","0.613275600356079","0.229377432126728","0.27816829122285","0.102129847811639","0.0233978177866084","0.01","0.1","","","","1.05450069289145","","","","","","","","",""
"32567","USTRADEMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.0105805672505582","0.0139346942188021","-9.10139068374908","3.68378896820292e-07","-0.24121542702189","-0.556464002897673","0.0247038081115677","5.78099418208137e-05","0.356119741726324","0.337182087071216",NA,"245.200399074612","251.94588480076","3.15772078596233e-07","70","No gap","1.00030785682315","0.0563201251641646","0.0200350944733141","0.979964905526686","0.10080731433285","0.622378683875581","0.224609528474952","0.271538114103826","0.103650928034001","0.02321615558944","0.01","0.1","","","","1.05617824544005","","","","","","","","",""
"9925","IPDCONGDMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-15.4487291227488","0.0162984507315782","-8.54432116285112","1.71276384089766e-06","-0.243805636918955","-0.522404467793366","0.000338275398930608","0.000693343678365904","0.353481842635533","0.334466602713049",NA,"245.48659470433","252.232080430478","3.62864682412756e-07","70","No gap","1.01482111874669","0.0177479879152423","0.00873287671727267","0.991267123282727","0.267433239767035","0.482251008092025","0.0515463973569555","0.0295249408326136","0.173815718029798","0.0148489613994144","0.01","0.1","","","","0.991843776510763","","","","","","","","",""
"15061","IPNMATMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-21.0248458868085","0.0177952723896195","-8.65667792373878","1.26605640506811e-06","-0.240152172743474","-0.529274021588897","0.00320502242966084","0.000623819343231293","0.35200346876151","0.332944747254495",NA,"245.646478894263","252.391964620411","3.92167099905194e-07","70","No gap","1.00898533975585","0.0160501822011925","0.00759591939051068","0.992404080609489","0.272546872679199","0.348992544461335","0.133186871273128","0.0936441231102223","0.220528194276457","0.0255323317839081","0.01","0.1","","","","0.963093273241763","","","","","","","","",""
