"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"45071","VIX_IndexMoMDifferenceL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-0.140596468288297","1.08363465287466e-10","-0.026878463085497","1.16596999893049e-06","-0.574316051143436","-0.402518515567119","1.17744988224083e-07","2.4488308953819e-06","0.684642607769123","0.675367390350568",NA,"120.419922449712","127.16540817586","0","70","No gap","1.2196404674411","0.87000143515025","0.482442727320557","0.517557272679443","0.397925255719807","0.970472184833596","0.00588420635975944","6.12036177940478e-05","0.30546819910318","0.148401616208349","0.01","0.1","","","","0.565160131404982","","","","","","","","",""
"45073","VIX_IndexMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.14531350888549","2.96996520525868e-11","-3.75727571273153","2.23606887094454e-06","-0.593584473471855","-0.386632806329884","1.41006569427104e-07","1.20940526011968e-05","0.678742112030223","0.669293350619347",NA,"121.717555549477","128.463041275625","0","70","No gap","1.18095786817436","0.786457379327728","0.48785289506993","0.512147104930071","0.326558879703236","0.889602057748337","0.0114945780596037","5.36904693749785e-05","0.791777802098744","0.223695566247302","0.01","0.1","","","","0.559953814751052","","","","","","","","",""
"45127","VIX_IndexMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-1.98872259398964","3.98581905836879e-10","-0.0292144798779011","1.77098012435627e-07","-0.546987129225425","-0.437501543005386","1.26163979758582e-05","2.93670250019488e-07","0.672536707490741","0.662905434181646",NA,"123.056779796168","129.802265522316","0","70","No gap","1.16870632503122","0.943321098327985","0.573639781328185","0.426360218671815","0.272678146031376","0.710044384450602","0.0120919078674769","0.000187384152411929","0.0886946819396611","0.0872898702673346","0.01","0.1","","","","0.580993605332311","","","","","","","","",""
"45129","VIX_IndexMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-2.03761060082272","4.11681915949676e-10","-3.97567846369612","1.30094547453214e-06","-0.560433504598239","-0.409106980431475","8.74757322397051e-06","1.63625794475752e-05","0.653344372293939","0.643148618537879",NA,"127.043692442841","133.789178168989","2.22044604925031e-16","70","No gap","1.16141484242017","0.979580993209793","0.536673155145846","0.463326844854154","0.329388407109861","0.712455343729109","0.101400529560128","0.00245974682372363","0.0906890310922346","0.121315345046412","0.01","0.1","","","","0.587571445890612","","","","","","","","",""
"45459","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"3.66174407540808","3.54081704229376e-09","-0.0277392328074266","1.79126261206201e-06","0.536070181914079","-0.415408975472291","4.09795068752139e-08","1.62370298203845e-08","0.651226272829477","0.640968222030344",NA,"127.470097856832","134.21558358298","3.33066907387547e-16","70","No gap","1.2249564098755","0.507404239080857","0.304120975583848","0.695879024416152","0.170369993252133","0.470375972008859","0.163488078139011","0.180284333297505","0.346031068061241","0.039290261657816","0.01","0.1","","","","0.594130909674032","","","","","","","","",""
"45443","SPX_Index_30DRSIMoMDifferenceL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"0.0667939433668827","9.55375810462533e-09","-0.0282345443889705","1.60742919109239e-06","0.525758308749066","-0.422826515750247","1.72583092414489e-07","2.21107004984633e-08","0.641110649488148","0.630555080355447",NA,"129.471451016003","136.216936742151","7.7715611723761e-16","70","No gap","1.22018217431175","0.578470289004081","0.339851129729117","0.660148870270883","0.154231383909541","0.507736526319485","0.25134875885391","0.158040842488241","0.830648855036862","0.0338045085822192","0.01","0.1","","","","0.607247646201871","","","","","","","","",""
"45461","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"3.7608796440321","3.49338998102773e-09","-3.72771873087455","1.27330163498724e-05","0.550583381420112","-0.383591321031565","2.70002318605831e-08","4.57532860403986e-06","0.631273226400667","0.620428321294804",NA,"131.364376573982","138.10986230013","1.88737914186277e-15","70","No gap","1.22108002098566","0.491272960803051","0.299277566205477","0.700722433794523","0.11810149074584","0.515990205447534","0.277880713429452","0.399049513837901","0.891636330762722","0.0740480043719476","0.01","0.1","","","","0.60128409158609","","","","","","","","",""
"40695","AMBSLMoMPercentChangeL1","VIX_IndexMoMDifferenceL0",NA,"0",NA,"11.253085771892","0.00115495765670057","-0.172316444459116","1.24867112658428e-13","0.258195038576004","-0.703887523873698","0.000915603874132924","2.54327018122897e-08","0.617284041088152","0.606027689355451",NA,"133.970978724735","140.716464450883","6.55031584528842e-15","70","No gap","1.02609854550722","0.858474732565443","0.584307839693593","0.415692160306407","0.19841876471137","0.8650430656738","0.0698524540641775","0.000608169613060983","0.614902799124644","0.223285498422507","0.01","0.1","","","","0.701216901201059","","","","","","","","",""
"40495","AMBSLMoMDifferenceL1","VIX_IndexMoMDifferenceL0",NA,"0",NA,"0.00291949088715536","0.00151492532919622","-0.171953463118448","1.65426883921597e-13","0.253033347458532","-0.70240479807874","0.00149667348018215","6.58854441513819e-11","0.614435351604238","0.603095214886715",NA,"134.490083790851","141.235569516999","8.43769498715119e-15","70","No gap","1.02929725938706","0.903466585237364","0.561194945160404","0.438805054839596","0.219017652875298","0.88364335897215","0.0696231899098141","0.000634743709399088","0.622216523906594","0.217746176014375","0.01","0.1","","","","0.700546565575716","","","","","","","","",""
"45445","SPX_Index_30DRSIMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"0.0680942872798398","2.14466259802481e-08","-3.70129584448086","2.63935418204888e-05","0.535993766965888","-0.380872341776699","1.82057562515532e-07","1.15608778067663e-05","0.611499001945054","0.600072502002261",NA,"135.021163972539","141.766649698688","1.0991207943789e-14","70","No gap","1.24570239543835","0.553129187265335","0.330176069796507","0.669823930203493","0.108301008058949","0.535049840364903","0.388478225401391","0.492509026594659","0.789693166663345","0.0646908577615807","0.01","0.1","","","","0.621275316212903","","","","","","","","",""
