"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"36675","HOUSTNEMoMDifferenceL0","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"0.0142342676591719","0.000204441416858342","6.31296010202325","1.60525924597481e-09","0.365807079544019","0.646399026659748","0.000209630968467609","1.1026405800219e-11","0.443678186388082","0.427315780105379",NA,"210.175800704241","216.921286430389","2.19324436390167e-09","70","No gap","1.05662270658357","0.00934607814414413","0.00677172499004418","0.993228275009956","0.433051943878813","0.801196057574278","0.910552790444907","0.67860762824539","0.260952573418421","0.0484281984237274","0.01","0.1","","","","1.08523347461008","","","","","","","","",""
"36673","HOUSTNEMoMDifferenceL0","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"0.0140341785314044","0.000281009876906916","0.115934524461708","3.49781431016053e-09","0.360664980123824","0.638257360019313","0.000227137457502176","6.78242116755055e-11","0.431040408972127","0.41430630335366",NA,"211.748174710861","218.493660437009","4.70726202461691e-09","70","No gap","1.05455051985246","0.0126524226030007","0.00944249431689925","0.990557505683101","0.466133693151061","0.916741659249097","0.738128995173603","0.530768888670883","0.07530103206118","0.0445544357080139","0.01","0.1","","","","1.13653575771964","","","","","","","","",""
"36939","HOUSTNEMoMPercentChangeL0","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"1.39095918206575","0.000489141051336413","6.16836542068293","3.64309237657382e-09","0.33849493403368","0.631593632713317","0.000463227002389915","5.58309119400368e-11","0.430057131956159","0.413294106425458",NA,"211.869044426561","218.614530152709","4.99188990144006e-09","70","No gap","1.04313567858935","0.0224105139818863","0.015773381982295","0.984226618017705","0.813411965686883","0.865961312109334","0.964817549140478","0.759672086539134","0.291609856822019","0.0573210966479313","0.01","0.1","","","","1.0657341780103","","","","","","","","",""
"36937","HOUSTNEMoMPercentChangeL0","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"1.40054870586301","0.000497336168345201","0.114158899286959","5.93884235553156e-09","0.340828579238385","0.628481964452881","0.000246340062587164","3.65451172648289e-11","0.421975090923746","0.404974358303857",NA,"212.854703137548","219.600188863696","8.05717581542353e-09","70","No gap","1.04569294492011","0.0320817165431135","0.0229753447528892","0.977024655247111","0.722824830518778","0.948432972903208","0.891164334115004","0.641835847750738","0.176167102454844","0.0526143955225312","0.01","0.1","","","","1.11310829456944","","","","","","","","",""
"45459","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"4.1103882555011","0.000119911993362658","-0.0316236783577004","0.00211038982805976","0.420872447253079","-0.331228578174704","0.000222373846546399","0.00178571844238641","0.40675295248867","0.389304509914807",NA,"214.674280020348","221.419765746496","1.94988907242788e-08","70","No gap","1.2249564098755","0.425941692334475","0.252949716816262","0.747050283183738","0.182192480241027","0.845044949215362","0.923005307245512","0.944495179496031","0.283853448875331","0.0279503492023205","0.01","0.1","","","","1.12707590616516","","","","","","","","",""
"45071","VIX_IndexMoMDifferenceL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-0.14715445526683","0.000127909437274643","-0.0318924376406997","0.00192034376598012","-0.420420557626598","-0.334043581355933","0.000183709865729431","0.00585313311732955","0.405682463078197","0.388202535521673",NA,"214.80047825834","221.545963984488","2.07314914124623e-08","70","No gap","1.2196404674411","0.594886039889938","0.350365619708946","0.649634380291054","0.189400389439641","0.199686785395054","0.606684249133938","0.444532367152614","0.636736000238716","0.0606773102927061","0.01","0.1","","","","1.16751995187277","","","","","","","","",""
"45443","SPX_Index_30DRSIMoMDifferenceL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"0.0750581558034692","0.000171375948031831","-0.0321616982459383","0.0018445998394661","0.413219621967426","-0.336863835420715","0.000189603718480815","0.00163140360464248","0.400813822565652","0.383190699699936",NA,"215.371581175226","222.117066901374","2.73590320398753e-08","70","No gap","1.22018217431175","0.419681785817363","0.250189613653891","0.749810386346109","0.180363253120055","0.850130312438822","0.837013928832445","0.869995872036511","0.404504540523487","0.0244861896526482","0.01","0.1","","","","1.146185801261","","","","","","","","",""
"45127","VIX_IndexMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-2.08274179178839","0.000186968585045306","-0.0343286036814945","0.000749159418500826","-0.400656614505931","-0.359560151716999","0.000197301986312565","0.00252272544697285","0.399358807293347","0.381692889860799",NA,"215.541357463922","222.28684319007","2.97107662916574e-08","70","No gap","1.16870632503122","0.756548011518603","0.433743790892669","0.566256209107331","0.327259898182263","0.244321837825592","0.645505379631407","0.387818217098684","0.845099223415824","0.0389978483949075","0.01","0.1","","","","1.19522114664398","","","","","","","","",""
"45073","VIX_IndexMoMDifferenceL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-0.155324383714493","5.43069289599281e-05","-4.19756378036302","0.00452789884929518","-0.443762058687559","-0.302104313453296","7.36939927503005e-05","0.018544257555917","0.391743058546922","0.373853148504185",NA,"216.423333289221","223.168819015369","4.55995450288071e-08","70","No gap","1.18095786817436","0.563921625711464","0.334523754662744","0.665476245337256","0.190415580804243","0.115102488095581","0.636786466167875","0.629205720076164","0.485377335291917","0.0773262300226267","0.01","0.1","","","","1.16426659172068","","","","","","","","",""
"44813","USGG10YR_IndexMoMDifferenceL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-3.30406625122749","0.000370068146632227","-0.0729154706150632","8.58129288476409e-09","-0.436086591363661","-0.763721645078198","0.000192325418240547","4.95749546993047e-09","0.387862003487402","0.369857944766443",NA,"216.868557636803","223.614043362951","5.6607957432675e-08","70","No gap","1.49688421387146","0.642717545335184","0.697444185766627","0.302555814233373","0.121074497992589","0.416159095066809","0.0242385843574935","0.00889064325813893","0.730219863515","0.0314185048384885","0.01","0.1","","","","1.22512519490636","","","","","","","","",""
"36669","HOUSTNEMoMDifferenceL0","SPX_Index_14DRSIMoMDifferenceL0",NA,"0",NA,"0.0170165070238563","5.71794835266145e-05","0.0639639174201686","4.89256350327532e-08","0.437307973088886","0.624883958247025","4.46601825918325e-05","1.36398783138363e-08","0.386178824801483","0.368125260825057",NA,"217.060770533879","223.806256260027","6.21474703921265e-08","70","No gap","1.14412985709756","0.0188106366977147","0.015069166103362","0.984930833896638","0.347386318777824","0.891556510527112","0.61474847289298","0.393492255426514","0.0405326130151965","0.0670364329774921","0.01","0.1","","","","1.15303075645593","","","","","","","","",""
"45461","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"4.29886086445091","7.94404948824535e-05","-3.99653996110975","0.00795210704000892","0.440170606754853","-0.28763635868692","0.000104051804840007","0.0128877828047152","0.385222876953269","0.367141196863659",NA,"217.16970176547","223.915187491618","6.55242020641822e-08","70","No gap","1.22108002098566","0.404814095969822","0.242762502349953","0.757237497650047","0.264681954765331","0.920648370482482","0.971575204579058","0.955762111219118","0.524037000289119","0.0388478127363561","0.01","0.1","","","","1.12707492884297","","","","","","","","",""
"36653","HOUSTNEMoMDifferenceL0","VIX_IndexMoMDifferenceL0",NA,"0",NA,"0.0101352252962408","0.00834040247757428","-0.20381505045553","6.28529057806952e-08","0.260465607006451","-0.582299985480101","0.00664693304054987","3.37804200907095e-07","0.381750416127193","0.363566604836817",NA,"217.56397205835","224.309457784498","7.93542721533314e-08","70","No gap","1.00601231564552","0.265554936344743","0.181816806986878","0.818183193013122","0.665824723262806","0.608816829090288","0.221242760535774","0.555676095591064","0.65918847277251","0.0654126800503353","0.01","0.1","","","","1.17596666769141","","","","","","","","",""
"36671","HOUSTNEMoMDifferenceL0","SPX_Index_14DRSIMoMPercentChangeL0",NA,"0",NA,"0.0170750575827809","5.89684526719997e-05","3.21958773802538","6.34683701131941e-08","0.43881266651455","0.61511954917105","4.56174685134214e-05","8.26781349534166e-09","0.381577545618372","0.363388649901265",NA,"217.583542219754","224.329027945902","8.01121711191399e-08","70","No gap","1.14809590915055","0.012456314734604","0.00961073827822219","0.990389261721778","0.474807668383663","0.714368914035094","0.525589030930865","0.452532909999387","0.776681569098358","0.0450669286504788","0.01","0.1","","","","1.11698480881322","","","","","","","","",""
"44881","USGG10YR_IndexMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-6.91633649626214","0.000563733789904891","-0.0714809967387484","1.28531918716048e-08","-0.418716046005721","-0.748696867216935","2.61808606367048e-05","1.55402445559884e-08","0.380698751226587","0.362484008615604",NA,"217.682943431196","224.428429157344","8.40749262431828e-08","70","No gap","1.46560888320963","0.640212821369958","0.708513606634609","0.291486393365391","0.070009504432053","0.194758171485179","0.0202955097177032","0.0111608669401074","0.587783317427655","0.0353380933555713","0.01","0.1","","","","1.23066293721528","","","","","","","","",""
"36917","HOUSTNEMoMPercentChangeL0","VIX_IndexMoMDifferenceL0",NA,"0",NA,"1.04619491814173","0.00894805886091969","-0.203598586551145","6.57860100828811e-08","0.254595306870778","-0.581681547694967","0.00486631731805074","8.95528117521129e-07","0.380598021617355","0.362380316370807",NA,"217.69432803488","224.439813761028","8.45411201044755e-08","70","No gap","1.00574732183769","0.365725508628139","0.2365566495176","0.763443350482401","0.376484655166434","0.514816111999962","0.142784742362921","0.392405210708169","0.883463070181192","0.0685935295387874","0.01","0.1","","","","1.15857886067179","","","","","","","","",""
"45451","SPX_Index_30DRSIMoMDifferenceL1","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"-0.0625123343479326","0.000674776969845035","-0.0524408251332723","2.87589205756956e-07","-0.343671151691124","-0.54926880265883","0.00115004626136948","5.72605315804393e-08","0.377621935909472","0.359316698730339",NA,"218.02985669743","224.775342423578","9.95051209207176e-08","70","No gap","1.01159703221721","0.333800076451125","0.212310227281692","0.787689772718308","0.0995891735880955","0.60099552518478","0.481695094014574","0.599310126135296","0.885878760460704","0.0483579247996658","0.01","0.1","","","","1.18292876323785","","","","","","","","",""
"45129","VIX_IndexMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL0",NA,"0",NA,"-2.17294188183278","0.000128949535940707","-4.43605366691952","0.00288592818895555","-0.418008387465883","-0.319268751497278","0.000109301819449301","0.0137758700256497","0.376839818032598","0.358511577386498",NA,"218.117767700966","224.863253427115","1.03845969601224e-07","70","No gap","1.16141484242017","0.734153438149601","0.424624499128518","0.575375500871482","0.300234347849885","0.133118668007113","0.628623731515877","0.582710308159572","0.786267563193813","0.0477037184504151","0.01","0.1","","","","1.19947173770137","","","","","","","","",""
"14307","IPDMATMoMPercentChangeL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"25.6400184352401","0.008337152045044","0.0888081945011254","5.51577577476686e-06","0.269358743334293","0.488918068483486","3.25209489444629e-05","5.21620484737024e-06","0.376009266914586","0.357656598294427",NA,"218.211001945762","224.95648767191","1.08656762365378e-07","70","No gap","1.06666217966934","0.214330516262638","0.14681019137837","0.85318980862163","0.463901917635071","0.819809749199491","0.920679562794576","0.992202276610902","0.629438244768445","0.0273868046111532","0.01","0.1","","","","1.09817879136472","","","","","","","","",""
"13803","IPDMATMoMDifferenceL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"0.230271889615122","0.00870196113306022","0.0889447307659529","5.37995130940241e-06","0.267904175995093","0.489669745141844","2.7648671714232e-05","5.16315618031813e-06","0.375300985616147","0.356927485193092",NA,"218.290412698206","225.035898424355","1.12929629980663e-07","70","No gap","1.06587073369567","0.220664836552795","0.150376417953267","0.849623582046733","0.437410493819905","0.818845246863722","0.919773643505365","0.990827133566396","0.63729602335855","0.0257303818163232","0.01","0.1","","","","1.10163854508326","","","","","","","","",""
