"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"12791","IPMATMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"1.38490989698374","7.39417312056135e-05","40.6623816072593","3.25395355361449e-18","0.273966402309587","0.769750900904581","0.000689926201973773","1.35921601444647e-16","0.75211998460563","0.74482939591756",NA,"393.951237062483","400.696722788631","0","70","No gap","1.09655175547248","0.0637328081384162","0.0376129589903194","0.962387041009681","0.0237026122861562","0.00059379566392587","0.00551953204050934","0.00581576409941553","0.505663049956821","0.01","0.01","0.1","","","","5.38203015319581","","","","","","","","",""
"13301","IPMATMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"150.225633350408","9.31762401473711e-05","40.7105128463374","3.59579701785416e-18","0.270391259784955","0.770662039484702","0.00141880358274967","6.20024169026712e-17","0.750510345801674","0.743172414795841",NA,"394.404321022121","401.149806748269","0","70","No gap","1.0967990021861","0.0617987580587975","0.0365450744983616","0.963454925501638","0.0198936879201633","0.000464770713164907","0.00549732000475798","0.00388833116158172","0.493539075451355","0.01","0.01","0.1","","","","5.39803457334322","","","","","","","","",""
"44653","USGG2YR_IndexMoMDifferenceL0","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"15.6141808755744","0.000167561009977519","44.0258467088961","1.57420594358374e-20","0.245183604145802","0.83342228929379","0.00877508082016712","5.78305348986386e-14","0.746388671086109","0.738929514353348",NA,"395.551302224329","402.296787950477","0","70","No gap","1.00497347450436","0.244279351040634","0.136414501166602","0.863585498833398","0.000814318835872157","3.57677104116928e-06","0.0171034551803311","0.000439495310993299","0.91142824296666","0.01","0.01","0.1","","","","5.59740803736937","","","","","","","","",""
"45459","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL0",NA,"0",NA,"38.8654378062757","6.14184616568155e-16","-0.139627988265746","0.000260283478939892","0.735734223695612","-0.270381916380681","2.34488718490196e-14","1.45473981265929e-05","0.743262149730881","0.735711036487672",NA,"396.408986499365","403.154472225514","0","70","No gap","1.2249564098755","0.271708789972133","0.154942662040857","0.845057337959143","0.023243914064595","0.105550998740348","6.40722931777071e-05","0","0.941927077802673","0.0237787804161152","0.01","0.1","","","","5.80193523884599","","","","","","","","",""
"19561","CLF16OVMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"0.00172106264443639","0.000313720454920082","40.9384304437832","6.50303758751099e-18","0.251975510759856","0.774976586961543","0.000149094145706674","8.15961904962208e-16","0.741928203356078","0.734337856395963",NA,"396.771747592807","403.517233318955","0","70","No gap","1.100276083498","0.00723274663050485","0.00470668606456822","0.995293313935432","0.0525893412096802","0.0121661788270197","0.00336856678747018","0.0370803897451994","0.382335248880912","0.0422929672375508","0.01","0.1","","","","5.95107130503389","","","","","","","","",""
"20017","CLF16OVMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"270.976737826186","0.000375035407126361","40.9594153277772","7.31129020484901e-18","0.249079413996584","0.775373837017278","0.00171772728847692","1.3299989821523e-16","0.740648380423493","0.73302039161242",NA,"397.118031835736","403.863517561884","0","70","No gap","1.1016069237141","0.00713361984541433","0.00467300529494711","0.995326994705053","0.045571624156125","0.00759676276754494","0.00325448907090692","0.031519967780143","0.363649572562907","0.042501895780282","0.01","0.1","","","","5.9585495708947","","","","","","","","",""
"45462","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL1",NA,"0",NA,"48.6459150452773","1.57983277346253e-21","-18.4128459543239","0.000449703882926974","0.920881548284545","-0.245015563584166","4.87004310753727e-12","0.0068072625089891","0.739342211506991","0.731675805963079",NA,"397.469687075141","404.215172801289","0","70","No gap","1.08874239318508","0.259735189634295","0.143137390228512","0.856862609771488","0.00100571040908641","3.09788051656251e-05","0.000444219966560546","9.36247624983011e-08","0.502792082983461","0.0526078966491578","0.01","0.1","","","","5.65505259438965","","","","","","","","",""
"45460","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL1",NA,"0",NA,"48.1762222575752","1.64360954126123e-21","-0.125492398228629","0.000472287517695391","0.911990125003584","-0.242546698744631","4.41518556740763e-14","0.00292860171201609","0.738988964131585","0.731312168958984",NA,"397.564487910089","404.309973636237","0","70","No gap","1.06804672617973","0.476774835215415","0.257549943315295","0.742450056684705","0.00243945918189462","4.3055751033615e-05","0.00104932707084963","4.35802035125832e-07","0.585408305853975","0.0386841019312969","0.01","0.1","","","","5.67529090844125","","","","","","","","",""
"15789","IPMANSICSMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-1.24401496334013","0.000502637437995106","41.9546933181256","1.18546050211751e-18","-0.23967926648886","0.794214743512149","0.00746370433364881","1.44949195972364e-19","0.738539496787618","0.730849481987254",NA,"397.684925941583","404.430411667731","0","70","No gap","1.05965885038289","0.0149380806988831","0.00990670499526303","0.990093295004737","0.00789167280705976","0.0516524774224707","0.0120910377685016","0.0141193614445474","0.604854486775459","0.03969829863489","0.01","0.1","","","","5.70552003330562","","","","","","","","",""
"16273","IPMANSICSMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-130.944067699303","0.000562470885386855","42.0705115943779","1.03399372137057e-18","-0.237093568398431","0.796407217709739","0.0124706489212406","6.40852603685115e-20","0.737726530585993","0.730012605014993",NA,"397.902241154245","404.647726880393","0","70","No gap","1.05603095990386","0.0160613740715155","0.0105517748658431","0.989448225134157","0.00666304805792912","0.0654781201392634","0.0128427531868979","0.0136815043951539","0.54003314638498","0.0391340827565889","0.01","0.1","","","","5.7339637796094","","","","","","","","",""
