"","V1","V2","V3","Intercept","Intercept p-val","Var1","Var1 p_val","Var2","Var2 p_val","Var1 Beta","Var2 Beta","Var 1 rob p_val","Var 2 rob p_val","r2","r2adj","r2 ex dummy","aic","bic","F","Num_obs","Gap","Max VIF","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","White_stat","SW_stat","JB_stat","RESET_stat","ADF p (noconst)","PP p (noconst)","KPSS lag (const)","Criteria1","Criteria2","Criteria3","RMSE","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"19561","CLF16OVMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"0.00296066071483885","6.47861941256129e-05","57.2366596090125","3.99437397914016e-16","0.290386286917273","0.725867715553207","1.86491077872938e-05","1.21596124419269e-12","0.719857031954712","0.711617532894556",NA,"456.704839411668","463.450325137816","0","70","No gap","1.100276083498","0.323288059263602","0.205713330054646","0.794286669945354","0.00552696817659638","0.00222357988151907","0.0372785361776045","0.0388739666241833","0.142127453711859","0.145718558829786","0.01","0.1","","","","8.5188850248128","","","","","","","","",""
"20017","CLF16OVMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"466.758497250833","7.89392507771059e-05","57.2637561751321","4.52220689061492e-16","0.287424553075799","0.726211350606038","0.00228348739913755","7.58951448858686e-13","0.718301818692186","0.710016578065486",NA,"457.092369611445","463.837855337593","0","70","No gap","1.1016069237141","0.320541233590189","0.204581265473692","0.795418734526308","0.00480897500447047","0.00138710200639501","0.0349052538711745","0.03523338645666","0.135071978617872","0.146077610331294","0.01","0.1","","","","8.53859837490158","","","","","","","","",""
"12791","IPMATMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"2.15624454397337","8.47491387873139e-05","57.4629809471913","3.68505689166614e-16","0.285758796393651","0.728737892706224","0.0025230658918094","9.90647416235076e-13","0.717741181448797","0.709439451491409",NA,"457.231545541436","463.977031267585","0","70","No gap","1.09655175547248","0.388346820341258","0.235594882246286","0.764405117753714","0.000921583018944087","0.000238302716586999","0.0195996648606544","0.00149818294128723","0.194272900257349","0.0853243627772899","0.01","0.1","","","","7.99415206715936","","","","","","","","",""
"13301","IPMATMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"233.987975105318","0.000105610712064369","57.5352853082653","4.00354550237852e-16","0.282142136934949","0.729654847010614","0.00538176903129954","3.91162028575469e-13","0.715998378984134","0.707645390130726",NA,"457.66243051664","464.407916242788","0","70","No gap","1.0967990021861","0.382798723019073","0.233085768709636","0.766914231290364","0.000806813068974384","0.000149897401863467","0.0154776286423999","0.00101174962159611","0.195918798505912","0.0868685331863412","0.01","0.1","","","","8.01058007274263","","","","","","","","",""
"19559","CLF16OVMoMDifferenceL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"0.00345735970996099","4.32399313588366e-06","1.04201948176801","9.73016988213226e-16","0.339103310177033","0.710516940046189","6.60609237408546e-08","5.97281288217996e-11","0.712488446797946","0.704032224644944",NA,"458.522247413976","465.267733140124","0","70","No gap","1.06162174191013","0.297652920473948","0.189582940321232","0.810417059678768","0.00130433471077078","0.00304494376905981","0.245614788388627","0.0868719531622706","0.730218635120088","0.174737725236431","0.01","0.1","","","","8.63904549775894","","","","","","","","",""
"20015","CLF16OVMoMPercentChangeL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"546.593073016081","5.23379163905883e-06","1.04222336432785","1.09715633926575e-15","0.336585773266701","0.710655960491658","0.000491458728194652","1.72513419197924e-11","0.71092672794741","0.70242457288704",NA,"458.901447774746","465.646933500895","0","70","No gap","1.06233525563442","0.298815719554771","0.19060831838984","0.80939168161016","0.00113779453474811","0.00200419847782813","0.227111729292471","0.0829911501094016","0.706871256969548","0.175515233265037","0.01","0.1","","","","8.65926333890896","","","","","","","","",""
"5255","INDPROMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"2.56833525308307","0.000376279190648595","59.1625480113607","1.34325919003654e-16","0.256109529664705","0.750291576494296","0.0257945648569423","4.09598418509857e-14","0.705777563801417","0.697123962736752",NA,"460.137358989034","466.882844715182","0","70","No gap","1.06430099689751","0.116101470757899","0.0847491921332065","0.915250807866793","4.34770418663319e-05","4.32925878220674e-06","0.058821962126464","0.0087960920309752","0.170251456468399","0.147288318209178","0.01","0.1","","","","8.67360773929955","","","","","","","","",""
"45460","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMDifferenceL1",NA,"0",NA,"69.2407121230445","1.1303273912184e-19","-0.198465551034369","0.000418867875995561","0.878101515276368","-0.256973825567224","1.60170399885773e-11","0.00439996338058661","0.704903142672428","0.696223823339264",NA,"460.345088566604","467.090574292752","0","70","No gap","1.06804672617973","0.694219410894841","0.678641199832089","0.321358800167911","0.00011583698292483","3.20009869843483e-05","0.00685057638818621","3.28040152297593e-06","0.0860539942604992","0.111455918002125","0.01","0.1","","","","8.45760391139247","","","","","","","","",""
"5823","INDPROMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"268.340949520055","0.000442770416400251","59.2092742786715","1.43796812962812e-16","0.253043411417284","0.750884152810609","0.0251068518425593","4.29856688263609e-14","0.704449875761171","0.695757225048265",NA,"460.452525634791","467.198011360939","0","70","No gap","1.06451453195959","0.122106756770325","0.089094181615001","0.910905818384999","4.25257833257664e-05","3.50890300451895e-06","0.0441491889196478","0.00609100549553254","0.176850244509901","0.148347270813692","0.01","0.1","","","","8.66000995125009","","","","","","","","",""
"12789","IPMATMoMDifferenceL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"2.45522002415728","1.25453554208492e-05","1.04277283952328","1.95181524448188e-15","0.325380866908499","0.711030628567757","0.00135562633328095","2.10338518796298e-11","0.703682712489131","0.694967498150576",NA,"460.633990125151","467.379475851299","0","70","No gap","1.06639032582167","0.385195028746779","0.234201430551364","0.765798569448636","0.000188314495062682","0.000116976128565583","0.0276503788713896","0.0103223438732749","0.722990678108517","0.0810213779907661","0.01","0.1","","","","8.04977779168903","","","","","","","","",""
"12281","IPBUSEQMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-126.802911443471","0.00059574064205096","61.3530450236473","1.42512723615593e-17","-0.24527686528524","0.778071168683918","0.019230841152546","1.16892722081062e-15","0.702018226632326","0.693254056827394",NA,"461.026096801071","467.77158252722","0","70","No gap","1.02154999297703","0.430384595380128","0.262759835392718","0.737240164607282","0.000129831204370419","0.000572149548507863","0.0243219690467048","0.060693978842144","0.0903983392592422","0.201732777070039","0.01","0.1","","","","11.3612084027819","","","","","","","","",""
"13299","IPMATMoMPercentChangeL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"267.136032638157","1.55428528435777e-05","1.04392223503386","2.11314168516173e-15","0.322111984886958","0.711814361497296","0.00153552267448212","1.92230529716241e-11","0.701883817059355","0.693115694031689",NA,"461.05766433177","467.803150057918","0","70","No gap","1.06635380798704","0.385933415034564","0.235185058867437","0.764814941132563","0.000156659821088977","7.54798526201089e-05","0.0222761319132082","0.00729240225688443","0.765497885089731","0.0832304016113492","0.01","0.1","","","","8.0667158306728","","","","","","","","",""
"15789","IPMANSICSMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-1.9189926770995","0.000634034169896141","59.5182084259394","1.28742389203141e-16","-0.247687441363309","0.754802014636676","0.022087671812877","5.9369571290487e-15","0.701506094327311","0.692726861807526",NA,"461.146300428545","467.891786154693","0","70","No gap","1.05965885038289","0.981696688627064","0.524424150047713","0.475575849952287","0.000127808260008208","0.00240725838451728","0.0163351381797736","0.0125452233846179","0.119630612378742","0.137711738403673","0.01","0.1","","","","8.91957481953731","","","","","","","","",""
"11761","IPBUSEQMoMDifferenceL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-1.17211839373296","0.000696760931461631","61.197860893085","1.8818037707292e-17","-0.242852623085702","0.776103144150151","0.0151415879718002","4.45523464580756e-15","0.700729480304743","0.691927406196059",NA,"461.328188175154","468.073673901302","0","70","No gap","1.02456573044195","0.407112911423482","0.250981908546442","0.749018091453558","0.000109285232181803","0.00022599680630056","0.0182184216486457","0.0472187350025877","0.125576842917533","0.205148824897064","0.01","0.1","","","","11.3641564595875","","","","","","","","",""
"16273","IPMANSICSMoMPercentChangeL1","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-200.75010360396","0.000767284591952639","59.7242313937965","1.15190146162865e-16","-0.243509287505626","0.757414770553102","0.0261138184780534","2.76963046170846e-14","0.699934460667227","0.691109003628028",NA,"461.513898367055","468.259384093203","0","70","No gap","1.05603095990386","0.993877242665976","0.533395828799724","0.466604171200276","9.96385929419446e-05","0.00258178677116529","0.017363616994179","0.01252414435322","0.100225709193482","0.133492828128115","0.01","0.1","","","","8.96569498107492","","","","","","","","",""
"5539","INDPROMoMPercentChangeL0","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-253.840666152202","0.000822265612316511","60.4294763890696","5.1158441295119e-17","-0.23931802824332","0.766358593919475","0.0424606649057267","1.83796678383411e-15","0.69936299735712","0.690520732573506",NA,"461.647083898927","468.392569625076","0","70","No gap","1.0400093902909","0.0176562068404016","0.0123885860158276","0.987611413984172","0.00549914105485982","3.15907179882086e-05","0.00111201467841988","0.00959022448638214","0.0127226930490727","0.217733810077719","0.01","0.1","","","","8.29080425974566","","","","","","","","",""
"45462","SPX_Index_30DRSIMoMPercentChangeL0","BAA10YB_IndexMoMPercentChangeL1",NA,"0",NA,"69.6850200818861","2.06815064813465e-19","-27.6300757686419","0.000827197624944082","0.883736169801799","-0.246309200612755","6.22716091960225e-09","0.0153616279898506","0.699313584993681","0.690469866905259",NA,"461.658588075705","468.404073801853","0","70","No gap","1.08874239318508","0.950801968638671","0.555911781642486","0.444088218357514","0.000109787330887356","2.62065325147717e-05","0.00445147231265034","7.57872657075609e-07","0.110173491010212","0.130956221444872","0.01","0.1","","","","8.48219230331681","","","","","","","","",""
"4971","INDPROMoMDifferenceL0","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-2.39787724325661","0.000852555900669991","60.369339109321","5.64669321716794e-17","-0.239069104033478","0.765595940924543","0.00277707131861798","3.33288739002411e-15","0.69906401521533","0.69021295683931",NA,"461.716663990075","468.462149716223","0","70","No gap","1.04154288468171","0.016468186387491","0.0115997151539374","0.988400284846063","0.00678200843577494","1.79063252606152e-05","0.00102993419872789","0.00826675292679313","0.0159819948975693","0.219137359338453","0.01","0.1","","","","8.27399936206588","","","","","","","","",""
"19789","CLF16OVMoMPercentChangeL0","SPX_Index_30DRSIMoMPercentChangeL0",NA,"0",NA,"-355.959017500949","0.00274401085983921","60.0065821367404","2.2112711371618e-16","-0.219204863353578","0.760995505176078","0.111281854848084","3.29346709956603e-14","0.689313277214186","0.680175432426368",NA,"463.94879005833","470.694275784478","0","70","No gap","1.06092094451904","0.0447798972890181","0.0313168438252314","0.968683156174769","0.0456412129190637","2.39348866757072e-06","0.0172303229609056","0.0396573476694631","0.0635319542856062","0.179359750748245","0.01","0.1","","","","10.1155452118148","","","","","","","","",""
"5253","INDPROMoMDifferenceL1","SPX_Index_30DRSIMoMDifferenceL0",NA,"0",NA,"2.9529374963877","7.15987017757941e-05","1.07526973615641","9.19977608422379e-16","0.294461337327858","0.733189135160734","0.0121051377490667","3.03736379372468e-12","0.688793801724398","0.679640678245704",NA,"464.065733961408","470.811219687556","0","70","No gap","1.0416138230548","0.112106718085344","0.0823128088942397","0.91768719110576","8.86114549746901e-06","1.46107605238091e-06","0.0702981068188832","0.0329427321505502","0.565158384083232","0.147831870136365","0.01","0.1","","","","8.83502537174984","","","","","","","","",""
