"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","FI_treas_long","USGG30YR_IndexMoMDifferenceL0","70","0.984125551970594","0.9838954875064","-83.3779953622184","-78.8810048781197","0","0.129630514484855","-6.05724785435954","8.09880652906181e-64","7.57262127060039e-49","0.322159077301406","0.796920394164147","0.203079605835853",NA,"0.0956537263644719","0.01021743423554","0.01","0.1","","",""
"2","FI_treas_long","USGG30YR_IndexMoMPercentChangeL0","70","0.981449871779322","0.981181029341341","-72.4743804846476","-67.9773900005489","0","0.140130085157727","-17.0910141365514","1.74928687661401e-61","9.24952619250567e-44","0.0335027879161806","0.987444487412799","0.0125555125872009",NA,"0.131314749292268","0.0211319156022576","0.01","0.1","","",""
"3","FI_treas_long","USGG10YR_IndexMoMPercentChangeL0","70","0.892061344665026","0.890497016326838","50.801664602964","55.2986550870627","0","0.338023138447208","-11.5250645715865","4.46286957467317e-35","3.37650390277012e-37","0.525426174750628","0.288584517630198","0.711415482369802",NA,"0.341590078021239","0.01","0.01","0.1","","",""
"4","FI_treas_long","USGG10YR_IndexMoMDifferenceL0","70","0.890852921357071","0.889271079637608","51.5809926936823","56.077983177781","0","0.339910034880444","-5.28778460835735","6.55708350234318e-35","1.27657648838923e-30","0.332273896780908","0.195928432105873","0.804071567894127",NA,"0.289664326973265","0.0204944936044848","0.01","0.1","","",""
"5","FI_treas_long","USGG2YR_IndexMoMDifferenceL0","70","0.442409343788434","0.434328319785368","165.746007582381","170.242998066479","2.50329090789592e-10","0.768273178725115","-5.64208098912367","2.50329056928461e-10","1.20102521995127e-08","0.0193087030792991","0.00874851023779325","0.991251489762207",NA,"0.635694586872564","0.01","0.01","0.1","","",""
"6","FI_treas_long","USGG2YR_IndexMoMPercentChangeL0","70","0.315832770246922","0.305917303149051","180.066416729501","184.563407213599","3.40347488303472e-07","0.851018619707269","-3.77703211212552","3.40347488265083e-07","7.82740061057584e-05","0.0720967847427336","0.0361108343402166","0.963889165659783",NA,"0.699364950838731","0.01","0.01","0.1","","",""
"7","FI_treas_long","BAA10YB_IndexMoMPercentChangeL0","70","0.283960720176548","0.273583339309541","183.253702219782","187.750692703881","1.7193158557971e-06","0.870615413189584","5.46755406166541","1.71931585574872e-06","5.44340658926852e-06","0.227673081610598","0.151183291916232","0.848816708083768",NA,"0.786387867746566","0.01","0.01","0.1","","",""
"8","FI_treas_long","BAA10YB_IndexMoMDifferenceL0","70","0.266619239237629","0.255990532559914","184.928801996441","189.425792480539","4.04005116971806e-06","0.881094893682254","0.0364523055495176","4.04005116968928e-06","0.000410673180072553","0.184262025124701","0.131698817116779","0.868301182883221",NA,"0.756850764541262","0.01","0.01","0.1","","",""
"9","FI_treas_long","UNRATEMoMPercentChangeL0","70","0.136224978937766","0.123706500371647","196.384114414158","200.881104898257","0.00153802019194849","0.956220936611525","14.196462871039","0.0015380201919485","0.00393702373723203","0.20235338819173","0.116064642480821","0.883935357519179",NA,"0.742894495535435","0.01","0.01","0.1","","",""
"10","FI_treas_long","UNRATEMoMDifferenceL0","70","0.117323381279361","0.104530966515293","197.899373663426","202.396364147525","0.00345630787525131","0.966626593981013","2.52830683823529","0.00345630787525133","0.01091401654388","0.194207124810064","0.109824358335105","0.890175641664895",NA,"0.747559363690893","0.01","0.01","0.1","","",""
