"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","FI_treas_short","USGG2YR_IndexMoMPercentChangeL1","69","0.517934839067704","0.510845645524582","-560.166886877721","-555.698673868527","2.22299956220695e-12","0.00405784035100701","0.0272784877213647","2.22303994245821e-12","1.05106775600722e-12","0.0720559946248299","0.939446836534897","0.060553163465103",NA,"0.00325911696149883","0.0849619530680934","0.01","0.1","","",""
"2","FI_treas_short","USGG10YR_IndexMoMDifferenceL0","69","0.454065418416351","0.44603696868718","-551.581916465435","-547.113703456241","1.62606594855674e-10","0.00431829578133603","-0.0213277123933515","1.62606639331994e-10","2.40626667508314e-08","0.134917009869818","0.948594453703126","0.0514055462968741",NA,"0.00283336966868638","0.0956198370308902","0.01","0.1","","",""
"3","FI_treas_short","USGG10YR_IndexMoMPercentChangeL0","69","0.436579335155707","0.428293737143291","-549.406527316698","-544.938314307504","4.83831752440267e-10","0.00438690742062777","-0.0455319711749723","4.83831718312612e-10","2.44626214793153e-07","0.169360195654632","0.933133678982922","0.0668663210170776",NA,"0.00261847835516251","0.0845673020456187","0.01","0.1","","",""
"4","FI_treas_short","USGG2YR_IndexMoMPercentChangeL0","69","0.424929973732462","0.416473061581469","-547.994422678552","-543.526209669358","9.82652181846788e-10","0.00443202753036336","-0.024838097644274","9.82652200060874e-10","2.44621626169961e-09","0.0646169029791639","0.970343723039571","0.0296562769604294",NA,"0.00292446244777181","0.0140164888293023","0.01","0.1","","",""
"5","FI_treas_short","USGG2YR_IndexMoMDifferenceL1","69","0.376483839174425","0.367314483868166","-542.413504916501","-537.945291907307","1.62665105829518e-08","0.00461493874206785","0.0293540389986323","1.62665105661443e-08","1.13547818417254e-05","0.045192616249372","0.92678500135565","0.07321499864435",NA,"0.00531364031455994","0.526037104180936","0.01","0.1","","",""
"6","FI_treas_short","USGG30YR_IndexMoMDifferenceL0","69","0.356038643601987","0.346568623654957","-540.187286542982","-535.719073533788","5.00012538040551e-08","0.00468999075578386","-0.0206436068995169","5.00012537763139e-08","8.27402326107323e-07","0.0871525006724518","0.96490086201092","0.0350991379890796",NA,"0.00321510491968691","0.0472052866070901","0.01","0.1","","",""
"7","FI_treas_short","USGG30YR_IndexMoMPercentChangeL0","69","0.34249831484272","0.332829172413937","-538.751492569269","-534.283279560074","1.03287262076535e-07","0.0047390415734386","-0.057113934398873","1.03287262104926e-07","5.46059983441561e-07","0.107073921900669","0.955378028110265","0.0446219718897354",NA,"0.00310158367029736","0.0426328346778901","0.01","0.1","","",""
"8","FI_treas_short","USGG2YR_IndexMoMDifferenceL0","69","0.332776038690786","0.322963921612709","-537.738680443357","-533.270467434162","1.72414229338003e-07","0.00477395037907485","-0.0276260814005762","1.72414229316795e-07","1.48090877041063e-06","0.145767695042664","0.938110553710954","0.0618894462890465",NA,"0.00405720912751559","0.431252272110152","0.01","0.1","","",""
"9","FI_treas_short","USGG10YR_IndexMoMDifferenceL1","69","0.302401875898364","0.292143079955693","-534.666978471377","-530.198765462183","8.18578431927008e-07","0.00488140380673056","0.0174094976656811","8.18578431949482e-07","1.57551562288895e-07","0.00909277904445911","0.963638743838496","0.0363612561615038",NA,"0.00261530184411388","0.0228878226878987","0.01","0.1","","",""
"10","FI_treas_short","USGG10YR_IndexMoMPercentChangeL1","69","0.301428102818846","0.291154986683829","-534.570728942513","-530.102515933318","8.59608068504158e-07","0.00488480957991588","0.0378447467008874","8.59608068489278e-07","7.02254933867966e-07","0.0147730089182172","0.952729711435839","0.0472702885641613",NA,"0.00260000336480021","0.0197523794655717","0.01","0.1","","",""
"11","FI_treas_short","BAA10YB_IndexMoMPercentChangeL0","69","0.246642783369429","0.235564000771921","-529.361132179484","-524.892919170289","1.22692142047187e-05","0.00507273949171199","0.0291700437808197","1.22692142047196e-05","0.000264259018365573","0.000309397871003814","0.999936902580149","6.30974198507772e-05",NA,"0.00352911399929324","0.195065086896376","0.01","0.1","","",""
"12","FI_treas_short","BAA10YB_IndexMoMDifferenceL0","69","0.213847609494788","0.202286544928535","-526.420962960652","-521.952749951458","5.56954267183496e-05","0.00518197666683316","0.000186658287996905","5.56954267182957e-05","0.0033451110324842","0.00013334604745017","0.999978694418783","2.130558121749e-05",NA,"0.00334597067947791","0.12953360802781","0.01","0.1","","",""
"13","FI_treas_short","USGG30YR_IndexMoMPercentChangeL1","69","0.213081528884061","0.201509198426474","-526.353757385101","-521.885544375907","5.76628756538966e-05","0.00518450088812573","0.0450624582428241","5.76628756539448e-05","7.11929935633671e-05","0.00729094588487827","0.981987143868257","0.0180128561317427",NA,"0.00259342055565313","0.01","0.01","0.1","","",""
"14","FI_treas_short","USGG30YR_IndexMoMDifferenceL1","69","0.205727786792848","0.194047313069213","-525.711947554426","-521.243734545232","8.0358216961729e-05","0.00520866910061582","0.015670878792014","8.03582169617589e-05","6.42691341144684e-05","0.00397288357988212","0.987225959067152","0.0127740409328476",NA,"0.00259362218267839","0.01","0.01","0.1","","",""
