"","IV_ID","TRANSFORM","LAG","IV_NAME","IV_GROUP"
"1","RPI","MoMDifference","L0","RPIMoMDifferenceL0","RPI"
"2","RPI","MoMDifference","L1","RPIMoMDifferenceL1","RPI"
"3","RPI","MoMPercentChange","L0","RPIMoMPercentChangeL0","RPI"
"4","RPI","MoMPercentChange","L1","RPIMoMPercentChangeL1","RPI"
"5","W875RX1","MoMDifference","L0","W875RX1MoMDifferenceL0","RPI"
"6","W875RX1","MoMDifference","L1","W875RX1MoMDifferenceL1","RPI"
"7","W875RX1","MoMPercentChange","L0","W875RX1MoMPercentChangeL0","RPI"
"8","W875RX1","MoMPercentChange","L1","W875RX1MoMPercentChangeL1","RPI"
"9","DPCERA3M086SBEA","MoMDifference","L0","DPCERA3M086SBEAMoMDifferenceL0","RPI"
"10","DPCERA3M086SBEA","MoMDifference","L1","DPCERA3M086SBEAMoMDifferenceL1","RPI"
"11","DPCERA3M086SBEA","MoMPercentChange","L0","DPCERA3M086SBEAMoMPercentChangeL0","RPI"
"12","DPCERA3M086SBEA","MoMPercentChange","L1","DPCERA3M086SBEAMoMPercentChangeL1","RPI"
"13","CMRMTSPL","MoMDifference","L0","CMRMTSPLMoMDifferenceL0","placeholder4"
"14","CMRMTSPL","MoMDifference","L1","CMRMTSPLMoMDifferenceL1","placeholder4"
"15","CMRMTSPL","MoMPercentChange","L0","CMRMTSPLMoMPercentChangeL0","placeholder4"
"16","CMRMTSPL","MoMPercentChange","L1","CMRMTSPLMoMPercentChangeL1","placeholder4"
"17","INDPRO","MoMDifference","L0","INDPROMoMDifferenceL0","IP"
"18","INDPRO","MoMDifference","L1","INDPROMoMDifferenceL1","IP"
"19","INDPRO","MoMPercentChange","L0","INDPROMoMPercentChangeL0","IP"
"20","INDPRO","MoMPercentChange","L1","INDPROMoMPercentChangeL1","IP"
"21","IPFPNSS","MoMDifference","L0","IPFPNSSMoMDifferenceL0","IP"
"22","IPFPNSS","MoMDifference","L1","IPFPNSSMoMDifferenceL1","IP"
"23","IPFPNSS","MoMPercentChange","L0","IPFPNSSMoMPercentChangeL0","IP"
"24","IPFPNSS","MoMPercentChange","L1","IPFPNSSMoMPercentChangeL1","IP"
"25","IPFINAL","MoMDifference","L0","IPFINALMoMDifferenceL0","IP"
"26","IPFINAL","MoMDifference","L1","IPFINALMoMDifferenceL1","IP"
"27","IPFINAL","MoMPercentChange","L0","IPFINALMoMPercentChangeL0","IP"
"28","IPFINAL","MoMPercentChange","L1","IPFINALMoMPercentChangeL1","IP"
"29","IPCONGD","MoMDifference","L0","IPCONGDMoMDifferenceL0","IP"
"30","IPCONGD","MoMDifference","L1","IPCONGDMoMDifferenceL1","IP"
"31","IPCONGD","MoMPercentChange","L0","IPCONGDMoMPercentChangeL0","IP"
"32","IPCONGD","MoMPercentChange","L1","IPCONGDMoMPercentChangeL1","IP"
"33","IPDCONGD","MoMDifference","L0","IPDCONGDMoMDifferenceL0","IP"
"34","IPDCONGD","MoMDifference","L1","IPDCONGDMoMDifferenceL1","IP"
"35","IPDCONGD","MoMPercentChange","L0","IPDCONGDMoMPercentChangeL0","IP"
"36","IPDCONGD","MoMPercentChange","L1","IPDCONGDMoMPercentChangeL1","IP"
"37","IPNCONGD","MoMDifference","L0","IPNCONGDMoMDifferenceL0","IP"
"38","IPNCONGD","MoMDifference","L1","IPNCONGDMoMDifferenceL1","IP"
"39","IPNCONGD","MoMPercentChange","L0","IPNCONGDMoMPercentChangeL0","IP"
"40","IPNCONGD","MoMPercentChange","L1","IPNCONGDMoMPercentChangeL1","IP"
"41","IPBUSEQ","MoMDifference","L0","IPBUSEQMoMDifferenceL0","IP"
"42","IPBUSEQ","MoMDifference","L1","IPBUSEQMoMDifferenceL1","IP"
"43","IPBUSEQ","MoMPercentChange","L0","IPBUSEQMoMPercentChangeL0","IP"
"44","IPBUSEQ","MoMPercentChange","L1","IPBUSEQMoMPercentChangeL1","IP"
"45","IPMAT","MoMDifference","L0","IPMATMoMDifferenceL0","IP"
"46","IPMAT","MoMDifference","L1","IPMATMoMDifferenceL1","IP"
"47","IPMAT","MoMPercentChange","L0","IPMATMoMPercentChangeL0","IP"
"48","IPMAT","MoMPercentChange","L1","IPMATMoMPercentChangeL1","IP"
"49","IPDMAT","MoMDifference","L0","IPDMATMoMDifferenceL0","IP"
"50","IPDMAT","MoMDifference","L1","IPDMATMoMDifferenceL1","IP"
"51","IPDMAT","MoMPercentChange","L0","IPDMATMoMPercentChangeL0","IP"
"52","IPDMAT","MoMPercentChange","L1","IPDMATMoMPercentChangeL1","IP"
"53","IPNMAT","MoMDifference","L0","IPNMATMoMDifferenceL0","IP"
"54","IPNMAT","MoMDifference","L1","IPNMATMoMDifferenceL1","IP"
"55","IPNMAT","MoMPercentChange","L0","IPNMATMoMPercentChangeL0","IP"
"56","IPNMAT","MoMPercentChange","L1","IPNMATMoMPercentChangeL1","IP"
"57","IPMANSICS","MoMDifference","L0","IPMANSICSMoMDifferenceL0","IP"
"58","IPMANSICS","MoMDifference","L1","IPMANSICSMoMDifferenceL1","IP"
"59","IPMANSICS","MoMPercentChange","L0","IPMANSICSMoMPercentChangeL0","IP"
