"","DATE","MONTH","QUARTER","CSI_ID","CSI_VALUE"
"1","06/30/2013",Jun 2013,2013 Q2,"CO_oil1",NA
"2","07/31/2013",Jul 2013,2013 Q3,"CO_oil1",0.0524691743827159
"3","08/31/2013",Aug 2013,2013 Q3,"CO_oil1",0.00879761697955953
"4","09/30/2013",Sep 2013,2013 Q3,"CO_oil1",-0.00290694040697677
"5","10/31/2013",Oct 2013,2013 Q4,"CO_oil1",-0.0142129003566727
"6","11/30/2013",Nov 2013,2013 Q4,"CO_oil1",-0.0118299080158931
"7","12/31/2013",Dec 2013,2013 Q4,"CO_oil1",0.0362888514777404
"8","01/31/2014",Jan 2014,2014 Q1,"CO_oil1",-0.0296029592201097
"9","02/28/2014",Feb 2014,2014 Q1,"CO_oil1",0.065848253937807
"10","03/31/2014",Mar 2014,2014 Q1,"CO_oil1",-0.00104708551483421
"11","04/30/2014",Apr 2014,2014 Q2,"CO_oil1",-0.00559056584239807
"12","05/31/2014",May 2014,2014 Q2,"CO_oil1",0.0354884060255941
"13","06/30/2014",Jun 2014,2014 Q2,"CO_oil1",0.0437733642271247
"14","07/31/2014",Jul 2014,2014 Q3,"CO_oil1",-0.0604681404421327
"15","08/31/2014",Aug 2014,2014 Q3,"CO_oil1",-0.0173010380622837
"16","09/30/2014",Sep 2014,2014 Q3,"CO_oil1",-0.0447183450704224
"17","10/31/2014",Oct 2014,2014 Q4,"CO_oil1",-0.108735684066925
"18","11/30/2014",Nov 2014,2014 Q4,"CO_oil1",-0.171629404466501
"19","12/31/2014",Dec 2014,2014 Q4,"CO_oil1",-0.216175775527919
"20","01/31/2015",Jan 2015,2015 Q1,"CO_oil1",-0.132484076433121
"21","02/28/2015",Feb 2015,2015 Q1,"CO_oil1",0.0741556534508078
"22","03/31/2015",Mar 2015,2015 Q1,"CO_oil1",-0.077922077922078
"23","04/30/2015",Apr 2015,2015 Q2,"CO_oil1",0.125277983691623
"24","05/31/2015",May 2015,2015 Q2,"CO_oil1",-0.0289855072463768
"25","06/30/2015",Jun 2015,2015 Q2,"CO_oil1",-0.00949796472184536
"26","07/31/2015",Jul 2015,2015 Q3,"CO_oil1",-0.172602739726027
"27","08/31/2015",Aug 2015,2015 Q3,"CO_oil1",0.0289735099337748
"28","09/30/2015",Sep 2015,2015 Q3,"CO_oil1",-0.086886564762671
"29","10/31/2015",Oct 2015,2015 Q4,"CO_oil1",0.0211453744493392
"30","11/30/2015",Nov 2015,2015 Q4,"CO_oil1",-0.0974978429680758
"31","12/31/2015",Dec 2015,2015 Q4,"CO_oil1",-0.134799235181644
"32","01/31/2016",Jan 2016,2016 Q1,"CO_oil1",-0.116022099447514
"33","02/29/2016",Feb 2016,2016 Q1,"CO_oil1",-0.0775
"34","03/31/2016",Mar 2016,2016 Q1,"CO_oil1",0.0528455284552845
"35","04/30/2016",Apr 2016,2016 Q2,"CO_oil1",0.106821106821107
"36","05/31/2016",May 2016,2016 Q2,"CO_oil1",0.0534883720930234
"37","06/30/2016",Jun 2016,2016 Q2,"CO_oil1",0.0110375275938189
"38","07/31/2016",Jul 2016,2016 Q3,"CO_oil1",-0.120087336244541
"39","08/31/2016",Aug 2016,2016 Q3,"CO_oil1",0.0459057071960297
"40","09/30/2016",Sep 2016,2016 Q3,"CO_oil1",0.0521945432977461
"41","10/31/2016",Oct 2016,2016 Q4,"CO_oil1",-0.0338218714768883
"42","11/30/2016",Nov 2016,2016 Q4,"CO_oil1",0.0501750291715286
"43","12/31/2016",Dec 2016,2016 Q4,"CO_oil1",0.0755555555555555
"44","01/31/2017",Jan 2017,2017 Q1,"CO_oil1",-0.0340909090909091
"45","02/28/2017",Feb 2017,2017 Q1,"CO_oil1",-0.00427807486631007
"46","03/31/2017",Mar 2017,2017 Q1,"CO_oil1",-0.0558539205155748
"47","04/30/2017",Apr 2017,2017 Q2,"CO_oil1",-0.0284414106939704
"48","05/31/2017",May 2017,2017 Q2,"CO_oil1",-0.0292740046838408
"49","06/30/2017",Jun 2017,2017 Q2,"CO_oil1",-0.0265379975874546
"50","07/31/2017",Jul 2017,2017 Q3,"CO_oil1",0.0582403965303592
"51","08/31/2017",Aug 2017,2017 Q3,"CO_oil1",-0.0245901639344261
"52","09/30/2017",Sep 2017,2017 Q3,"CO_oil1",0.0552220888355341
"53","10/31/2017",Oct 2017,2017 Q4,"CO_oil1",0.0511945392491469
"54","11/30/2017",Nov 2017,2017 Q4,"CO_oil1",0.0476190476190476
"55","12/31/2017",Dec 2017,2017 Q4,"CO_oil1",0.0485537190082645
"56","01/31/2018",Jan 2018,2018 Q1,"CO_oil1",0.0798029556650247
"57","02/28/2018",Feb 2018,2018 Q1,"CO_oil1",-0.0428832116788322
"58","03/31/2018",Mar 2018,2018 Q1,"CO_oil1",0.0648236415633937
"59","04/30/2018",Apr 2018,2018 Q2,"CO_oil1",0.0581915846016115
"60","05/31/2018",May 2018,2018 Q2,"CO_oil1",0.0084602368866328
"61","06/30/2018",Jun 2018,2018 Q2,"CO_oil1",0.0453020134228189
"62","07/31/2018",Jul 2018,2018 Q3,"CO_oil1",-0.0200642054574639
"63","08/31/2018",Aug 2018,2018 Q3,"CO_oil1",0.0352170352170352
"64","09/30/2018",Sep 2018,2018 Q3,"CO_oil1",0.0664556962025316
"65","10/31/2018",Oct 2018,2018 Q4,"CO_oil1",-0.0971810089020772
"66","11/30/2018",Nov 2018,2018 Q4,"CO_oil1",-0.221035332785538
"67","12/31/2018",Dec 2018,2018 Q4,"CO_oil1",-0.106540084388186
